timestamp_utc,instrument,action,reason_code,p_model_up,p_market_up,edge,balance,position_qty,position_value,total_equity,price
2026-01-01T00:00:00+00:00,BTC,HOLD,WARMUP,0.6881,0.5314,0.1567,100.0,0.0,0.0,100.0,43016.5
2026-01-01T00:05:00+00:00,BTC,HOLD,WARMUP,0.4805,0.4761,0.0044,100.0,0.0,0.0,100.0,43015.71
2026-01-01T00:10:00+00:00,BTC,HOLD,WARMUP,0.6807,0.4713,0.2094,100.0,0.0,0.0,100.0,43031.45
2026-01-01T00:15:00+00:00,BTC,HOLD,WARMUP,0.7621,0.5126,0.2495,100.0,0.0,0.0,100.0,43055.61
2026-01-01T00:20:00+00:00,BTC,HOLD,WARMUP,0.396,0.4712,0.0752,100.0,0.0,0.0,100.0,43044.24
2026-01-01T00:25:00+00:00,BTC,HOLD,WARMUP,0.6649,0.5202,0.1447,100.0,0.0,0.0,100.0,43059.69
2026-01-01T00:30:00+00:00,BTC,HOLD,WARMUP,0.5737,0.4685,0.1052,100.0,0.0,0.0,100.0,43066.11
2026-01-01T00:35:00+00:00,BTC,HOLD,WARMUP,0.6834,0.4606,0.2228,100.0,0.0,0.0,100.0,43084.9
2026-01-01T00:40:00+00:00,BTC,HOLD,WARMUP,0.7181,0.4804,0.2377,100.0,0.0,0.0,100.0,43103.16
2026-01-01T00:45:00+00:00,BTC,HOLD,WARMUP,0.7023,0.4702,0.2321,100.0,0.0,0.0,100.0,43121.52
2026-01-01T00:50:00+00:00,BTC,HOLD,HOLD,0.5495,0.5186,0.0309,100.0,0.0,0.0,100.0,43125.99
2026-01-01T00:55:00+00:00,BTC,HOLD,HOLD,0.358,0.4643,0.1063,100.0,0.0,0.0,100.0,43112.38
2026-01-01T01:00:00+00:00,BTC,HOLD,HOLD,0.2622,0.4744,0.2122,100.0,0.0,0.0,100.0,43090.34
2026-01-01T01:05:00+00:00,BTC,BUY,BUY_EXECUTED,0.6453,0.4993,0.146,75.0,0.00058,25.0,100.0,43104.05
2026-01-01T01:10:00+00:00,BTC,SELL,SELL_EXECUTED,0.3393,0.5265,0.1872,99.99,0.0,0.0,99.99,43087.46
2026-01-01T01:15:00+00:00,BTC,HOLD,HOLD,0.2144,0.5269,0.3125,99.99,0.0,0.0,99.99,43063.47
2026-01-01T01:20:00+00:00,BTC,HOLD,HOLD,0.4168,0.5345,0.1177,99.99,0.0,0.0,99.99,43054.44
2026-01-01T01:25:00+00:00,BTC,BUY,BUY_EXECUTED,0.7071,0.5317,0.1754,74.99,0.00058,25.0,99.99,43071.36
2026-01-01T01:30:00+00:00,BTC,HOLD,HOLD,0.5391,0.5052,0.0339,74.99,0.00058,25.0,99.99,43076.62
2026-01-01T01:35:00+00:00,BTC,HOLD,HOLD,0.5153,0.4718,0.0435,74.99,0.00058,25.0,99.99,43077.32
2026-01-01T01:40:00+00:00,BTC,SELL,SELL_EXECUTED,0.3168,0.5082,0.1914,99.98,0.0,0.0,99.98,43058.5
2026-01-01T01:45:00+00:00,BTC,HOLD,HOLD,0.3342,0.5021,0.1679,99.98,0.0,0.0,99.98,43041.66
2026-01-01T01:50:00+00:00,BTC,HOLD,HOLD,0.236,0.5322,0.2962,99.98,0.0,0.0,99.98,43017.33
